iter	Passed	Remaining
776	7444	2136
777	7452	2126
778	7462	2116
779	7471	2107
780	7480	2097
781	7487	2087
782	7494	2076
783	7501	2066
784	7509	2056
785	7516	2046
786	7525	2036
787	7535	2027
788	7544	2017
789	7552	2007
790	7561	1997
791	7569	1987
792	7577	1978
793	7586	1968
794	7595	1958
795	7603	1948
796	7613	1939
797	7624	1929
798	7634	1920
799	7644	1911
800	7654	1901
801	7666	1892
802	7677	1883
803	7690	1874
804	7699	1865
805	7708	1855
806	7718	1846
807	7729	1836
808	7741	1827
809	7752	1818
810	7763	1809
811	7772	1799
812	7782	1790
813	7794	1781
814	7804	1771
815	7811	1761
816	7818	1751
817	7828	1741
818	7840	1732
819	7851	1723
820	7862	1714
821	7871	1704
822	7881	1695
823	7891	1685
824	7899	1675
825	7906	1665
826	7915	1655
827	7927	1646
828	7938	1637
829	7947	1627
830	7957	1618
831	7966	1608
832	7974	1598
833	7984	1589
834	7993	1579
835	8005	1570
836	8015	1560
837	8024	1551
838	8033	1541
839	8042	1531
840	8053	1522
841	8062	1513
842	8072	1503
843	8081	1493
844	8089	1483
845	8100	1474
846	8110	1465
847	8120	1455
848	8130	1446
849	8140	1436
850	8150	1427
851	8161	1417
852	8171	1408
853	8181	1398
854	8192	1389
855	8203	1379
856	8214	1370
857	8224	1361
858	8235	1351
859	8245	1342
860	8255	1332
861	8262	1322
862	8270	1312
863	8277	1302
864	8285	1293
865	8294	1283
866	8304	1273
867	8312	1264
868	8321	1254
869	8329	1244
870	8337	1234
871	8346	1225
872	8354	1215
873	8364	1205
874	8373	1196
875	8384	1186
876	8395	1177
877	8406	1168
878	8417	1158
879	8427	1149
880	8436	1139
881	8445	1129
882	8454	1120
883	8463	1110
884	8472	1100
885	8481	1091
886	8490	1081
887	8500	1072
888	8510	1062
889	8519	1053
890	8529	1043
891	8538	1033
892	8546	1024
893	8554	1014
894	8563	1004
895	8572	995
896	8582	985
897	8591	975
898	8598	966
899	8606	956
900	8614	946
901	8621	936
902	8628	926
903	8636	917
904	8643	907
905	8651	897
906	8660	887
907	8669	878
908	8678	868
909	8689	859
910	8699	849
911	8707	840
912	8715	830
913	8724	820
914	8733	811
915	8743	801
916	8751	792
917	8759	782
918	8770	772
919	8778	763
920	8788	753
921	8796	744
922	8805	734
923	8813	724
924	8822	715
925	8829	705
926	8837	695
927	8846	686
928	8855	676
929	8863	667
930	8870	657
931	8878	647
932	8886	638
933	8894	628
934	8901	618
935	8909	609
936	8918	599
937	8928	590
938	8938	580
939	8948	571
940	8959	561
941	8969	552
942	8979	542
943	8990	533
944	8999	523
945	9011	514
946	9022	504
947	9031	495
948	9043	485
949	9051	476
950	9059	466
951	9067	457
952	9075	447
953	9083	438
954	9090	428
955	9099	418
956	9108	409
957	9118	399
958	9126	390
959	9133	380
960	9141	370
961	9149	361
962	9156	351
963	9164	342
964	9173	332
965	9183	323
966	9191	313
967	9200	304
968	9209	294
969	9216	285
970	9223	275
971	9231	265
972	9239	256
973	9246	246
974	9253	237
975	9260	227
976	9268	218
977	9275	208
978	9283	199
979	9291	189
980	9299	180
981	9308	170
982	9317	161
983	9324	151
984	9333	142
985	9343	132
986	9352	123
987	9361	113
988	9371	104
989	9381	94
990	9390	85
991	9397	75
992	9405	66
993	9412	56
994	9419	47
995	9427	37
996	9435	28
997	9442	18
998	9450	9
999	9457	0
